province,district_number,district_label,winner_party,cat_91,cat_92,flag_93,share_rk1,share_rk2,share_rk3
ศรีสะเกษ,2,ศรีสะเกษ เขต 2,ภูมิใจไทย,D,E,True,0.4384919825370272,0.37080256232404424,0.09654956682579188
ศรีสะเกษ,6,ศรีสะเกษ เขต 6,ภูมิใจไทย,D,E,True,0.36931465930226004,0.3662712055458491,0.1646564842473088
ศรีสะเกษ,7,ศรีสะเกษ เขต 7,เพื่อไทย,D,E,True,0.444463040446304,0.3988423988842399,0.07683403068340307
สกลนคร,1,สกลนคร เขต 1,กล้าธรรม,D,E,True,0.28246610789222026,0.2426393654722394,0.20075378297800528
สกลนคร,2,สกลนคร เขต 2,กล้าธรรม,D,E,True,0.28149629878063387,0.2401001365498407,0.21377236901995544
สกลนคร,4,สกลนคร เขต 4,เพื่อไทย,D,E,True,0.3633928928328736,0.2159331654474957,0.16897842800229176
สกลนคร,5,สกลนคร เขต 5,กล้าธรรม,D,E,True,0.3528592672705151,0.27037988373665,0.18722455049344328
สกลนคร,7,สกลนคร เขต 7,เพื่อไทย,D,E,True,0.3050346946342497,0.21978123841305153,0.21669579956565496
สงขลา,2,สงขลา เขต 2,ประชาธิปัตย์,D,E,True,0.39123838180357756,0.26980990144454503,0.22618030675863476
สงขลา,3,สงขลา เขต 3,ภูมิใจไทย,D,E,True,0.34931731620242845,0.25372169572092007,0.23667697570580457
สงขลา,7,สงขลา เขต 7,ภูมิใจไทย,D,E,True,0.3665821868211441,0.26348127955019807,0.19273118371171785
สงขลา,8,สงขลา เขต 8,กล้าธรรม,D,E,True,0.4314058128953252,0.36828860002921054,0.06813917693716366
สมุทรปราการ,6,สมุทรปราการ เขต 6,ภูมิใจไทย,D,E,True,0.38740468988994053,0.36064310604579486,0.08690901981530252
สมุทรปราการ,8,สมุทรปราการ เขต 8,ประชาชน,D,E,True,0.35717545928264427,0.2492583013198433,0.15548096306720932
สมุทรสงคราม,1,สมุทรสงคราม เขต 1,ประชาชน,D,E,True,0.3490020935101186,0.24917422656431729,0.12113514770876949
สมุทรสาคร,1,สมุทรสาคร เขต 1,ประชาชน,D,E,True,0.3718154919029086,0.26028557747793096,0.1294797971736915
