region,province,district_number,district_label,winner_party,target_party,votes_rank1,votes_target,gap,bucket
ภาคอีสาน,อำนาจเจริญ,1,อำนาจเจริญ เขต 1,ภูมิใจไทย,ประชาชน,40261,14152,26109,10000+
ภาคอีสาน,บึงกาฬ,1,บึงกาฬ เขต 1,ภูมิใจไทย,ประชาชน,34556,8434,26122,10000+
ภาคใต้,นครศรีธรรมราช,5,นครศรีธรรมราช เขต 5,กล้าธรรม,ประชาชน,34752,8627,26125,10000+
ภาคอีสาน,นครราชสีมา,9,นครราชสีมา เขต 9,ภูมิใจไทย,ประชาชน,37991,11686,26305,10000+
ภาคอีสาน,ศรีสะเกษ,7,ศรีสะเกษ เขต 7,เพื่อไทย,ประชาชน,31868,5509,26359,10000+
ภาคกลาง,นครปฐม,1,นครปฐม เขต 1,ภูมิใจไทย,ประชาชน,51585,25116,26469,10000+
ภาคอีสาน,ศรีสะเกษ,5,ศรีสะเกษ เขต 5,ภูมิใจไทย,ประชาชน,37079,10562,26517,10000+
ภาคกลาง,พระนครศรีอยุธยา,2,พระนครศรีอยุธยา เขต 2,ภูมิใจไทย,ประชาชน,51200,24678,26522,10000+
ภาคเหนือ,กำแพงเพชร,2,กำแพงเพชร เขต 2,กล้าธรรม,ประชาชน,39701,13012,26689,10000+
ภาคใต้,สงขลา,7,สงขลา เขต 7,ภูมิใจไทย,ประชาชน,34425,7679,26746,10000+
ภาคเหนือ,เพชรบูรณ์,5,เพชรบูรณ์ เขต 5,ภูมิใจไทย,ประชาชน,42489,15743,26746,10000+
ภาคตะวันออก,ชลบุรี,5,ชลบุรี เขต 5,ภูมิใจไทย,ประชาชน,49881,23056,26825,10000+
ภาคอีสาน,ขอนแก่น,10,ขอนแก่น เขต 10,ภูมิใจไทย,ประชาชน,36642,9715,26927,10000+
ภาคกลาง,ราชบุรี,1,ราชบุรี เขต 1,ภูมิใจไทย,ประชาชน,53723,26748,26975,10000+
ภาคเหนือ,เพชรบูรณ์,1,เพชรบูรณ์ เขต 1,ภูมิใจไทย,ประชาชน,48580,21364,27216,10000+
ภาคใต้,นครศรีธรรมราช,9,นครศรีธรรมราช เขต 9,ภูมิใจไทย,ประชาชน,35278,7910,27368,10000+
ภาคเหนือ,พิษณุโลก,4,พิษณุโลก เขต 4,ภูมิใจไทย,ประชาชน,40713,13276,27437,10000+
ภาคอีสาน,นครราชสีมา,10,นครราชสีมา เขต 10,ภูมิใจไทย,ประชาชน,40401,12927,27474,10000+
ภาคอีสาน,นครพนม,4,นครพนม เขต 4,เพื่อไทย,ประชาชน,38829,11139,27690,10000+
ภาคกลาง,ราชบุรี,4,ราชบุรี เขต 4,ภูมิใจไทย,ประชาชน,52731,24904,27827,10000+
ภาคอีสาน,มุกดาหาร,2,มุกดาหาร เขต 2,กล้าธรรม,ประชาชน,39782,11781,28001,10000+
ภาคอีสาน,สุรินทร์,7,สุรินทร์ เขต 7,ภูมิใจไทย,ประชาชน,40998,12906,28092,10000+
ภาคอีสาน,ยโสธร,3,ยโสธร เขต 3,ภูมิใจไทย,ประชาชน,41851,13673,28178,10000+
ภาคใต้,นครศรีธรรมราช,7,นครศรีธรรมราช เขต 7,ภูมิใจไทย,ประชาชน,36880,8672,28208,10000+
ภาคใต้,นราธิวาส,1,นราธิวาส เขต 1,กล้าธรรม,ประชาชน,37791,9540,28251,10000+
ภาคอีสาน,ชัยภูมิ,7,ชัยภูมิ เขต 7,กล้าธรรม,ประชาชน,37660,9375,28285,10000+
ภาคใต้,กระบี่,1,กระบี่ เขต 1,ภูมิใจไทย,ประชาชน,47972,19641,28331,10000+
ภาคอีสาน,อุบลราชธานี,3,อุบลราชธานี เขต 3,ไทรวมพลัง,ประชาชน,41261,12852,28409,10000+
ภาคอีสาน,นครราชสีมา,7,นครราชสีมา เขต 7,เพื่อไทย,ประชาชน,37355,8931,28424,10000+
ภาคเหนือ,พิจิตร,1,พิจิตร เขต 1,ภูมิใจไทย,ประชาชน,50052,21619,28433,10000+
ภาคใต้,สงขลา,9,สงขลา เขต 9,ประชาธิปัตย์,ประชาชน,46357,17735,28622,10000+
ภาคอีสาน,ขอนแก่น,6,ขอนแก่น เขต 6,ภูมิใจไทย,ประชาชน,43245,14408,28837,10000+
ภาคอีสาน,ร้อยเอ็ด,5,ร้อยเอ็ด เขต 5,เพื่อไทย,ประชาชน,39346,10238,29108,10000+
ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา เขต 2,กล้าธรรม,ประชาชน,48727,19493,29234,10000+
ภาคเหนือ,นครสวรรค์,2,นครสวรรค์ เขต 2,ภูมิใจไทย,ประชาชน,44634,15384,29250,10000+
ภาคตะวันออก,ฉะเชิงเทรา,3,ฉะเชิงเทรา เขต 3,กล้าธรรม,ประชาชน,49678,20386,29292,10000+
ภาคอีสาน,ขอนแก่น,9,ขอนแก่น เขต 9,เพื่อไทย,ประชาชน,40153,10840,29313,10000+
ภาคใต้,ปัตตานี,2,ปัตตานี เขต 2,ภูมิใจไทย,ประชาชน,36360,6903,29457,10000+
ภาคใต้,สุราษฎร์ธานี,7,สุราษฎร์ธานี เขต 7,กล้าธรรม,ประชาชน,38674,9051,29623,10000+
ภาคอีสาน,มหาสารคาม,3,มหาสารคาม เขต 3,ภูมิใจไทย,ประชาชน,35150,5400,29750,10000+
ภาคอีสาน,สุรินทร์,4,สุรินทร์ เขต 4,ภูมิใจไทย,ประชาชน,40070,10241,29829,10000+
ภาคอีสาน,ร้อยเอ็ด,2,ร้อยเอ็ด เขต 2,กล้าธรรม,ประชาชน,41159,11258,29901,10000+
ภาคอีสาน,สุรินทร์,5,สุรินทร์ เขต 5,ภูมิใจไทย,ประชาชน,37432,7299,30133,10000+
ภาคใต้,พัทลุง,1,พัทลุง เขต 1,ภูมิใจไทย,ประชาชน,40279,9811,30468,10000+
ภาคกลาง,ลพบุรี,4,ลพบุรี เขต 4,เพื่อไทย,ประชาชน,47865,17319,30546,10000+
ภาคอีสาน,นครราชสีมา,12,นครราชสีมา เขต 12,เพื่อไทย,ประชาชน,44512,13923,30589,10000+
