year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand,threshold
2569,นราธิวาส_4,นราธิวาส,4,ภูมิใจไทย,39681,0.48501478964480405,0.4030972694159924,0.04427115163663921,0.027965873811328135,2.305693480123094,8,0.5050400916380298,0.08529973272241313,0.75
2569,นราธิวาส_5,นราธิวาส,5,ประชาชาติ,42706,0.5031516194021938,0.36549359661628,0.048682210728465895,0.03258833370642224,2.316280300608047,6,0.5296802520278818,0.14491603204921488,0.75
2569,บึงกาฬ_1,บึงกาฬ,1,ภูมิใจไทย,34556,0.5167484148821629,0.24389879172149778,0.12612154563943057,0.051949994018423255,2.562262658565307,8,0.5504826839137222,0.2906617389365024,0.75
2569,บุรีรัมย์_1,บุรีรัมย์,1,ภูมิใจไทย,53235,0.6934349355216881,0.14896443923407582,0.037631887456037516,0.037710042985541224,1.668601747594637,8,0.7555886736214605,0.5932723014690228,0.75
2569,บุรีรัมย์_10,บุรีรัมย์,10,ภูมิใจไทย,47751,0.7328606289424007,0.09552312107678376,0.05623340546679559,0.044293015332197615,1.5690956308290918,9,0.7889467162329615,0.6861131763733994,0.75
2569,บุรีรัมย์_2,บุรีรัมย์,2,ภูมิใจไทย,54410,0.6581589452038225,0.16481190274585703,0.044768356114672794,0.04878432321277368,1.8150774659879392,9,0.718103709960538,0.5382808272512505,0.75
2569,บุรีรัมย์_3,บุรีรัมย์,3,ภูมิใจไทย,51914,0.7621186764144573,0.10850289204028304,0.03799289468275639,0.025587950321500925,1.4687753556394043,8,0.815796090263373,0.6996511408636621,0.75
2569,บุรีรัมย์_4,บุรีรัมย์,4,ภูมิใจไทย,49024,0.6896241278415485,0.1579028809363043,0.049516092730137296,0.0346190636957011,1.724633814537832,7,0.7402083647893704,0.5707232372036841,0.75
2569,บุรีรัมย์_5,บุรีรัมย์,5,ภูมิใจไทย,50853,0.6522123893805309,0.13053738617416955,0.0952802359882006,0.05275105809926895,1.9163438620009394,9,0.7007151419949568,0.56047014729996,0.75
2569,บุรีรัมย์_6,บุรีรัมย์,6,ภูมิใจไทย,47010,0.6763444882456191,0.12045003309066843,0.06848329640606567,0.059894109861019194,1.7933687803872527,10,0.7310473524609283,0.6008552989658658,0.75
2569,บุรีรัมย์_7,บุรีรัมย์,7,ภูมิใจไทย,42445,0.5968333872351196,0.18013976967532377,0.11486705007241588,0.04031384900937891,2.1606004304110016,9,0.6402733361491583,0.4470222651300308,0.75
2569,บุรีรัมย์_8,บุรีรัมย์,8,ภูมิใจไทย,49860,0.6252664844122294,0.1807077825988814,0.055127787113440845,0.05930375460861278,1.9827780017352934,10,0.6793378295524218,0.48300292935486067,0.75
2569,บุรีรัมย์_9,บุรีรัมย์,9,ภูมิใจไทย,50073,0.7470014321518081,0.08451187492540876,0.05166189282730636,0.04203962286669054,1.5063864627599222,9,0.8073816088618004,0.7160386333220464,0.75
2569,ปทุมธานี_7,ปทุมธานี,7,ภูมิใจไทย,44519,0.5104160695245411,0.2956054161268502,0.056867038901182054,0.07237935818208918,2.482434205064686,9,0.5457431811216672,0.22967821023597915,0.75
