key,rate_2566,region,province,district_label,rate_2569,delta_rate,ballot_code
นครปฐม_4,0.015192661235383596,ภาคกลาง,นครปฐม,นครปฐม เขต 4,0.03270788475340921,0.017515223518025612,CON
นครปฐม_6,0.030835468990261405,ภาคกลาง,นครปฐม,นครปฐม เขต 6,0.053697221614526364,0.022861752624264958,CON
นครปฐม_5,0.023589422510312315,ภาคกลาง,นครปฐม,นครปฐม เขต 5,0.0418569478408611,0.018267525330548786,CON
นครปฐม_1,0.020052529617763208,ภาคกลาง,นครปฐม,นครปฐม เขต 1,0.04659715357716059,0.026544623959397384,CON
นครปฐม_3,0.02498432053957907,ภาคกลาง,นครปฐม,นครปฐม เขต 3,0.04989609685580051,0.024911776316221438,CON
นครพนม_1,0.0081268385102458,ภาคอีสาน,นครพนม,นครพนม เขต 1,0.01143469917597923,0.003307860665733431,CON
นครพนม_2,0.012271658075171412,ภาคอีสาน,นครพนม,นครพนม เขต 2,0.04552849152051345,0.03325683344534204,CON
นครพนม_3,0.01345886773956376,ภาคอีสาน,นครพนม,นครพนม เขต 3,0.02328483730970745,0.00982596957014369,CON
นครพนม_4,0.008990788946736083,ภาคอีสาน,นครพนม,นครพนม เขต 4,0.017902813299232736,0.008912024352496653,CON
นครราชสีมา_1,0.03798160576684067,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 1,0.08035997882477501,0.04237837305793434,CON
นครราชสีมา_2,0.03221772161349934,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 2,0.053469828263671325,0.021252106650171985,CON
นครราชสีมา_3,0.03304069172133945,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 3,0.0616619229148899,0.02862123119355045,CON
นครราชสีมา_4,0.015319756504625833,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 4,0.06139788595201287,0.04607812944738704,CON
นครราชสีมา_5,0.016235006119951042,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 5,0.03834507274043842,0.022110066620487378,CON
นครราชสีมา_6,0.015488288679963045,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 6,0.02165231727422605,0.006164028594263004,CON
นครราชสีมา_7,0.010232446156540011,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 7,0.025437267593995318,0.015204821437455307,CON
นครราชสีมา_8,0.013940728956331966,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 8,0.037827352085354024,0.02388662312902206,CON
นครราชสีมา_9,0.008833128724136899,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 9,0.018639955802166656,0.009806827078029757,CON
นครราชสีมา_10,0.013103748910200523,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 10,0.03026856792931502,0.0171648190191145,CON
นครราชสีมา_11,0.009524088332015965,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 11,0.04607986864481323,0.03655578031279726,CON
นครราชสีมา_12,0.011871936274509803,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 12,0.04275457297623328,0.030882636701723476,CON
นครราชสีมา_15,0.008097546311952804,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 15,0.016800267201068805,0.008702720889116,CON
นครราชสีมา_16,0.008411444476280136,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 16,0.026747060596924933,0.0183356161206448,CON
นครราชสีมา_14,0.019948159668221877,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 14,0.06766679249418556,0.04771863282596368,CON
นครราชสีมา_13,0.01745950879874334,ภาคอีสาน,นครราชสีมา,นครราชสีมา เขต 13,0.06675122658340767,0.049291717784664325,CON
นครศรีธรรมราช_1,0.0302147997582816,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 1,0.05086401920278695,0.02064921944450535,CON
นครศรีธรรมราช_2,0.0378404679121347,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 2,0.05673134760621115,0.018890879694076455,CON
นครศรีธรรมราช_3,0.017941444206871732,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 3,0.025485737685485524,0.0075442934786137915,CON
นครศรีธรรมราช_4,0.04559920808098011,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 4,0.036683665076492844,-0.008915543004487263,CON
นครศรีธรรมราช_5,0.026822870026022187,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 5,0.03601584488689669,0.009192974860874507,CON
นครศรีธรรมราช_6,0.028980742132456553,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 6,0.028303980310274566,-0.0006767618221819871,CON
นครศรีธรรมราช_8,0.0437487501944142,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 8,0.04576926437183296,0.0020205141774187543,CON
นครศรีธรรมราช_9,0.02271495115123754,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 9,0.03446214125788724,0.0117471901066497,CON
นครศรีธรรมราช_7,0.032124822820694544,ภาคใต้,นครศรีธรรมราช,นครศรีธรรมราช เขต 7,0.11381420281613008,0.08168937999543555,CON
นครสวรรค์_1,0.032562052212707235,ภาคเหนือ,นครสวรรค์,นครสวรรค์ เขต 1,0.05232450023245002,0.019762448019742786,CON
